,Value
N,2522019.0
Mean,-0.0012585217911984655
Std Dev,0.05255773441765746
Skewness,0.17081770070390537
Excess Kurtosis,5.4560274452857165
Min,-0.9666666666666667
P1,-0.14248257578674878
P5,-0.08509003074220467
Median,0.0
P95,0.08359456635318707
P99,0.14833860759493678
Max,0.9277605779153766
JB stat,3140433.8457148364
JB p-value,0.0
