regime,n_obs,sigma,skew,kurtosis,straddle_price,call_K0.02,put_K0.02,bsm_call_K0.02,mispricing_K0.02,call_K0.05,put_K0.05,bsm_call_K0.05,mispricing_K0.05
pre_paspa,768818,0.04145700360319231,0.11518823167997887,6.72190230228081,0.026349670419469905,0.007385045446293394,0.006711194783439924,0.008681853924048417,-17.55992548977339,0.0029162034272371446,0.0025395621378199733,0.002389733023398671,18.053281157318295
post_paspa,1743872,0.05669875559559134,0.20128303438612272,4.759873358282522,0.03920427886582632,0.011304226785954727,0.012804439402714874,0.013242522321296088,-17.14664410085663,0.005397938517737742,0.005924865048642173,0.005487589794639852,-1.6608428682081913
post_paspa_ex_covid,1725844,0.05657776102765343,0.19740256357158445,4.765177990192899,0.0395791122432136,0.01182157479628531,0.012626442102091547,0.013211891787679888,-11.760844179841905,0.005709947102140089,0.005802678638080871,0.00546322831779759,4.320859369258056
covid,18028,0.06717063359711167,0.46760226551198536,3.9539586307885237,0.05006394475935909,0.014495552291547162,0.018611230042617666,0.01576432635770207,-8.752850809932742,0.00762904649318203,0.009200492930461117,0.0075967543763749475,0.4232785425536709
