strike,type,emp_price,emp_se,bsm_price,price_diff,pct_diff,emp_pct_itm,bsm_delta
0.0,call,0.017015792631274392,0.00014593683441072985,0.020344252490208384,-0.0033284598589339923,-19.56100389244523,0.47936,0.49044803619916455
-0.0,put,0.0182437938036203,0.00014476762636811565,0.02160277428140685,-0.003358980477786551,-18.411633643436566,0.52064,-0.5095519638008355
0.01,call,0.013178044731177929,0.00013275254096314023,0.015817478049814884,-0.0026394333186369554,-20.029020787828422,0.32968,0.4151906884084775
-0.01,put,0.014058730837829363,0.000131343779073041,0.016886106766626604,-0.0028273759287972405,-20.111174766852432,0.35982,-0.43395199614774604
0.02,call,0.010231110341121745,0.00011976541542571458,0.012030413882243539,-0.0017993035411217936,-17.586591104289827,0.26144,0.34293010526505646
-0.02,put,0.010855655769458294,0.00011785417161232404,0.012915879759910986,-0.002060223990452692,-18.978346718113546,0.2841,-0.36069998292860705
0.03,call,0.007912519267933567,0.00010758813233049471,0.008941025068480534,-0.0010285058005469663,-12.998461876928493,0.20476,0.27600651031597934
-0.03,put,0.008329873017540746,0.00010508086284387236,0.009656081430359491,-0.001326208412818745,-15.921112002860827,0.2234,-0.29223905682125273
0.05,call,0.004709556701839373,8.627462189264505e-05,0.004588916887294402,0.00012063981454497105,2.561595967150236,0.12262,0.16471062548783416
-0.05,put,0.004807715351601411,8.265456659560083e-05,0.005018677660209292,-0.00021096230860788087,-4.387994986799937,0.13418,-0.17686223352765484
0.07,call,0.0028170582876950946,6.91828113789382e-05,0.0021225777910209003,0.0006944804966741943,24.652684671370977,0.07064,0.08757914862043764
-0.07,put,0.002739294764083232,6.482266743893014e-05,0.0023528182829974475,0.00038647648108578467,14.10861241196611,0.07648,-0.09544968619694727
0.1,call,0.0013528791847494304,5.0242676357813985e-05,0.0005420232003252959,0.0008108559844241344,59.93557987768987,0.03162,0.027013811221440136
-0.1,put,0.0012074882708828472,4.568676441345424e-05,0.0006138941341002647,0.0005935941367825826,49.159412235829016,0.03198,-0.030141092979947715
