segment,n_obs,mean,std,skew,kurtosis,p5,median,p95,jb_pvalue
post_paspa,1743872,-0.002168506538869822,0.05669875559559134,0.20128303438612272,4.759873358282522,-0.0916630292448713,0.0,0.08960573476702505,0.0
post_paspa_ex_covid,1725844,-0.0021280150821479512,0.05657776102765343,0.19740256357158445,4.765177990192899,-0.09153318077803196,0.0,0.08943089430894305,0.0
pre_paspa,768818,0.0008006861294031481,0.04145700360319231,0.11518823167997887,6.72190230228081,-0.06639194139194149,0.0,0.06892418339826192,0.0
covid,18028,-0.006044806607357809,0.06717063359711167,0.46760226551198536,3.9539586307885237,-0.11017374771260993,-0.004986136010990544,0.10405919323899658,0.0
