segment,n_obs,mean,std,skew,kurtosis,p5,median,p95,jb_pvalue
888sport,738618,0.000889067583041226,0.046596574277948805,0.23194708150402155,8.094171241571962,-0.07295639197479697,0.0,0.07763216169784184,0.0
bet-at-home,717016,-0.0010808343486864598,0.051891679217911116,0.10211191620281654,5.082394248844482,-0.08469174645366027,0.0,0.08333333333333331,0.0
Pinnacle,606274,-0.001887278843205463,0.05552722443582164,0.2229605578135381,4.435652526124096,-0.0886114963784867,-0.0016193807488017464,0.08680555555555558,0.0
Bet-in-asia,256856,-0.006360062533875283,0.06010109286132149,0.21755749740417937,4.05805359364923,-0.10047987803821701,-0.004950495049504955,0.09065944962541822,0.0
bet365,135950,-0.0013781218379344906,0.055795272578129516,0.18497358087030702,5.164356168719536,-0.09043927648578814,0.0,0.08823529411764708,0.0
BC.Game,66617,-0.0014138366028377078,0.05474636984954289,0.17566313273082784,4.902860686235525,-0.08736645487338689,0.0,0.08809636557668049,0.0
BetMGM,688,0.005302128510924656,0.050934023121120206,0.2195042607724081,5.403768555019491,-0.0647023022817732,0.0,0.08893797244925361,1.0693538243969623e-183
